GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new,place_share
361190010001003,36,119,001000,1003,400,74,96,1,44,0,133,52,400,244,156,40,65,1,44,0,1,5,238,223,15,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190011021005,36,119,001102,1005,188,23,64,3,10,0,65,23,188,109,79,9,55,1,10,0,0,4,69,65,4,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190010001004,36,119,001000,1004,66,20,2,13,0,2,22,7,66,53,13,8,2,0,0,0,3,0,23,17,6,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000004
361190003002007,36,119,000300,2007,1245,135,610,13,148,0,220,119,1245,432,813,65,565,5,148,0,19,11,563,554,9,37,0,0,0,0,0,37,0,0,37,090,090,1.0
361190001033002,36,119,000103,3002,184,19,41,17,5,0,71,31,184,132,52,9,29,0,5,0,3,6,77,77,0,19,0,0,0,0,0,19,0,0,19,089,089,1.0
361190002021003,36,119,000202,1003,452,36,174,6,10,0,176,50,452,269,183,17,151,0,9,0,6,0,150,141,9,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190001033010,36,119,000103,3010,358,28,84,12,0,0,170,64,358,256,102,18,80,0,0,0,2,2,114,114,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190008032006,36,119,000803,2006,60,26,4,4,10,0,7,9,60,15,45,26,4,1,10,0,0,4,12,8,4,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190006022005,36,119,000602,2005,161,32,65,0,3,0,31,30,161,67,94,22,61,0,3,0,0,8,76,72,4,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190015033008,36,119,001503,3008,60,51,3,0,0,0,6,0,60,7,53,50,3,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,089,089,0.9999999999999999
361190024053007,36,119,002405,3007,52,24,0,0,5,0,19,4,52,20,32,24,0,0,5,0,2,1,20,16,4,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190021052000,36,119,002105,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190004013002,36,119,000401,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190017011006,36,119,001701,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999997
361190005012015,36,119,000501,2015,146,7,58,5,1,0,65,10,146,81,65,5,58,0,1,0,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190011012005,36,119,001101,2005,513,48,146,32,0,0,240,47,513,361,152,22,120,0,0,0,7,3,149,137,12,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190010002001,36,119,001000,2001,58,10,17,3,3,0,12,13,58,25,33,3,17,2,3,0,0,8,17,11,6,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190006011004,36,119,000601,1004,228,33,111,10,3,0,53,18,228,84,144,31,104,0,3,0,3,3,79,69,10,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190010002000,36,119,001000,2000,114,20,51,3,6,0,17,17,114,36,78,15,51,2,5,0,0,5,85,85,0,6,0,0,0,0,0,6,0,0,6,090,090,0.9999999999999999
361190011021002,36,119,001102,1002,440,80,93,22,2,0,198,45,440,315,125,40,72,0,2,0,1,10,154,138,16,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190001032001,36,119,000103,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190001034001,36,119,000103,4001,180,16,16,3,0,1,115,29,180,146,34,6,14,3,0,1,8,2,55,46,9,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190002023000,36,119,000202,3000,203,38,65,5,1,0,57,37,203,108,95,28,60,0,1,0,0,6,58,58,0,0,0,0,0,0,0,0,0,0,0,089,089,0.9999999999999999
361190002021002,36,119,000202,1002,264,61,45,8,3,0,126,21,264,188,76,32,40,0,3,0,1,0,93,93,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190011023003,36,119,001102,3003,423,90,139,0,7,0,141,46,423,247,176,34,125,0,5,0,8,4,137,122,15,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190011022006,36,119,001102,2006,170,49,32,1,14,0,54,20,170,91,79,33,21,0,14,0,4,7,65,64,1,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190011023005,36,119,001102,3005,370,92,50,6,3,1,152,66,370,261,109,56,32,3,3,1,8,6,128,128,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190011022011,36,119,001102,2011,113,33,18,1,7,0,38,16,113,56,57,31,14,1,7,0,2,2,51,51,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190012003005,36,119,001200,3005,61,12,8,0,17,0,14,10,61,21,40,12,3,0,17,0,7,1,16,15,1,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190013012012,36,119,001301,2012,45,27,6,0,3,0,7,2,45,20,25,16,6,0,3,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190011022010,36,119,001102,2010,90,19,13,0,38,0,11,9,90,21,69,18,9,0,38,0,2,2,28,27,1,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190013012004,36,119,001301,2004,36,12,7,0,8,0,6,3,36,9,27,11,7,0,8,0,0,1,13,11,2,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190013013004,36,119,001301,3004,41,11,9,1,3,0,3,14,41,13,28,11,7,0,2,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190013012001,36,119,001301,2001,50,10,9,0,24,0,5,2,50,8,42,10,6,0,24,0,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190013012019,36,119,001301,2019,72,15,2,0,15,0,31,9,72,40,32,14,2,0,15,0,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190013012005,36,119,001301,2005,28,18,4,0,1,0,0,5,28,3,25,18,4,0,1,0,0,2,15,11,4,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190011021006,36,119,001102,1006,124,37,26,2,4,0,25,30,124,80,44,16,20,1,1,0,0,6,41,41,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
