GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new
361190036001012,36,119,003600,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190036001013,36,119,003600,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190029001001,36,119,002900,1001,228,6,206,0,0,0,14,2,228,12,216,6,203,0,0,0,5,2,93,85,8,0,0,0,0,0,0,0,0,0,0,089,089
361190029002000,36,119,002900,2000,139,6,127,1,0,0,0,5,139,8,131,6,122,0,0,0,0,3,58,47,11,0,0,0,0,0,0,0,0,0,0,089,089
361190029001002,36,119,002900,1002,262,3,231,0,0,0,11,17,262,24,238,0,222,0,0,0,4,12,112,111,1,0,0,0,0,0,0,0,0,0,0,089,089
361190040012005,36,119,004001,2005,18,0,3,0,2,0,1,12,18,6,12,0,3,0,2,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,089,089
361190031001006,36,119,003100,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190030001000,36,119,003000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040012003,36,119,004001,2003,1105,52,938,1,7,0,58,49,1105,97,1008,37,919,1,7,0,1,43,567,556,11,0,0,0,0,0,0,0,0,0,0,089,089
361190031001002,36,119,003100,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190030001003,36,119,003000,1003,24,0,8,0,5,0,2,9,24,10,14,0,7,0,5,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,089,089
361190029001000,36,119,002900,1000,139,6,124,5,0,0,0,4,139,5,134,4,121,5,0,0,0,4,105,95,10,0,0,0,0,0,0,0,0,0,0,089,089
361190039003004,36,119,003900,3004,206,62,93,0,7,0,18,26,206,23,183,59,93,0,7,0,3,21,63,60,3,0,0,0,0,0,0,0,0,0,0,089,089
361190039003006,36,119,003900,3006,220,89,56,9,2,0,27,37,220,57,163,81,51,0,2,0,10,19,79,72,7,0,0,0,0,0,0,0,0,0,0,089,089
361199810001008,36,119,981000,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190120001048,36,119,012000,1048,108,102,0,0,3,0,0,3,108,2,106,102,0,0,3,0,0,1,34,34,0,0,0,0,0,0,0,0,0,0,0,092,092
361190120001055,36,119,012000,1055,31,28,0,0,0,0,0,3,31,3,28,28,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190040022001,36,119,004002,2001,281,34,187,0,0,0,35,25,281,53,228,28,182,0,0,0,9,9,123,120,3,0,0,0,0,0,0,0,0,0,0,089,089
361190040022002,36,119,004002,2002,76,4,41,1,0,0,6,24,76,20,56,2,40,0,0,0,0,14,53,44,9,0,0,0,0,0,0,0,0,0,0,089,089
361190040022000,36,119,004002,2000,120,16,65,0,7,0,26,6,120,32,88,16,65,0,4,0,0,3,50,45,5,0,0,0,0,0,0,0,0,0,0,089,089
361190040023008,36,119,004002,3008,176,33,37,3,6,0,58,39,176,64,112,28,34,0,6,0,21,23,77,70,7,0,0,0,0,0,0,0,0,0,0,089,089
361190040011003,36,119,004001,1003,193,26,120,1,11,0,23,12,193,40,153,21,110,0,11,0,3,8,99,95,4,0,0,0,0,0,0,0,0,0,0,089,089
361190040023000,36,119,004002,3000,25,2,9,0,0,0,13,1,25,10,15,2,3,0,0,0,10,0,4,4,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040023003,36,119,004002,3003,234,47,78,0,3,0,61,45,234,68,166,42,77,0,3,0,16,28,97,75,22,0,0,0,0,0,0,0,0,0,0,089,089
361190040023005,36,119,004002,3005,158,19,77,3,0,0,26,33,158,29,129,13,77,0,0,0,15,24,58,58,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040011001,36,119,004001,1001,90,8,31,0,2,0,40,9,90,28,62,8,29,0,2,0,18,5,46,33,13,0,0,0,0,0,0,0,0,0,0,089,089
361190109022019,36,119,010902,2019,28,1,18,0,0,0,0,9,28,8,20,0,18,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,092,092
